ATTR | apps/web/src/modules/admin/pages/AdminAuth.tsx | placeholder | admin@platform.com
ATTR | apps/web/src/modules/crm/customers/components/AddressAutocompleteInput.tsx | placeholder | Start typing an address...
ATTR | apps/web/src/modules/crm/customers/components/CustomerChatTab.tsx | aria-label | Send message
ATTR | apps/web/src/modules/crm/customers/components/CustomerChatTab.tsx | placeholder | Type a message...
ATTR | apps/web/src/modules/crm/customers/components/CustomerModal.tsx | placeholder | 123 Main St
ATTR | apps/web/src/modules/crm/customers/components/CustomerModal.tsx | placeholder | Any special billing instructions, preferred contact times, etc.
ATTR | apps/web/src/modules/crm/customers/components/CustomerModal.tsx | placeholder | Apt 4B
ATTR | apps/web/src/modules/crm/customers/components/CustomerModal.tsx | placeholder | Customer preferences, special requests, warnings...
ATTR | apps/web/src/modules/crm/customers/components/CustomerModal.tsx | placeholder | Doe
ATTR | apps/web/src/modules/crm/customers/components/CustomerModal.tsx | placeholder | Gate code, parking instructions, special access...
ATTR | apps/web/src/modules/crm/customers/components/CustomerModal.tsx | placeholder | Home, Business...
ATTR | apps/web/src/modules/crm/customers/components/CustomerModal.tsx | placeholder | John
ATTR | apps/web/src/modules/crm/customers/components/CustomerModal.tsx | placeholder | NY
ATTR | apps/web/src/modules/crm/customers/components/CustomerModal.tsx | placeholder | New York
ATTR | apps/web/src/modules/crm/customers/components/CustomerModal.tsx | placeholder | Select relationship
ATTR | apps/web/src/modules/crm/customers/components/CustomerModal.tsx | placeholder | billing@email.com
ATTR | apps/web/src/modules/crm/customers/components/CustomerModal.tsx | placeholder | e.g., Ana Smith
ATTR | apps/web/src/modules/crm/customers/components/CustomerModal.tsx | placeholder | e.g., Moved away, No longer needs service, Budget constraints...
ATTR | apps/web/src/modules/crm/customers/components/CustomerModal.tsx | placeholder | john.doe@email.com
ATTR | apps/web/src/modules/crm/customers/pages/CustomersPageContent.tsx | aria-label | Customer actions
ATTR | apps/web/src/modules/crm/customers/pages/CustomersPageContent.tsx | aria-label | Customer data tools
ATTR | apps/web/src/modules/crm/customers/pages/CustomersPageContent.tsx | aria-label | Select all
ATTR | apps/web/src/modules/crm/customers/pages/CustomersPageContent.tsx | placeholder | Search by
ATTR | apps/web/src/modules/crm/customers/pages/CustomersPageContent.tsx | placeholder | Status
ATTR | apps/web/src/modules/crm/leads/components/CreateLeadModal.tsx | placeholder | Add custom tag...
ATTR | apps/web/src/modules/crm/leads/components/CreateLeadModal.tsx | placeholder | City
ATTR | apps/web/src/modules/crm/leads/components/CreateLeadModal.tsx | placeholder | Company or business name
ATTR | apps/web/src/modules/crm/leads/components/CreateLeadModal.tsx | placeholder | Enter contact name
ATTR | apps/web/src/modules/crm/leads/components/CreateLeadModal.tsx | placeholder | Enter referrer name
ATTR | apps/web/src/modules/crm/leads/components/CreateLeadModal.tsx | placeholder | Gate code, parking instructions, etc.
ATTR | apps/web/src/modules/crm/leads/components/CreateLeadModal.tsx | placeholder | ST
ATTR | apps/web/src/modules/crm/leads/components/CreateLeadModal.tsx | placeholder | Select a customer
ATTR | apps/web/src/modules/crm/leads/components/CreateLeadModal.tsx | placeholder | Select frequency
ATTR | apps/web/src/modules/crm/leads/components/CreateLeadModal.tsx | placeholder | Select property
ATTR | apps/web/src/modules/crm/leads/components/CreateLeadModal.tsx | placeholder | Select source
ATTR | apps/web/src/modules/crm/leads/components/CreateLeadModal.tsx | placeholder | Select stage
ATTR | apps/web/src/modules/crm/leads/components/CreateLeadModal.tsx | placeholder | Select type
ATTR | apps/web/src/modules/crm/leads/components/CreateLeadModal.tsx | placeholder | Start typing...
ATTR | apps/web/src/modules/crm/leads/components/CreateLeadModal.tsx | placeholder | customer@email.com
ATTR | apps/web/src/modules/crm/leads/components/CreateLeadModal.tsx | placeholder | e.g., 2
ATTR | apps/web/src/modules/crm/leads/components/CreateLeadModal.tsx | placeholder | e.g., 2000
ATTR | apps/web/src/modules/crm/leads/components/CreateLeadModal.tsx | placeholder | e.g., 3
ATTR | apps/web/src/modules/crm/leads/components/CreateLeadModal.tsx | placeholder | e.g., Home
ATTR | apps/web/src/modules/crm/leads/components/EditLeadModal.tsx | placeholder | Add custom tag...
ATTR | apps/web/src/modules/crm/leads/components/EditLeadModal.tsx | placeholder | City
ATTR | apps/web/src/modules/crm/leads/components/EditLeadModal.tsx | placeholder | Company or business name
ATTR | apps/web/src/modules/crm/leads/components/EditLeadModal.tsx | placeholder | Enter contact name
ATTR | apps/web/src/modules/crm/leads/components/EditLeadModal.tsx | placeholder | Enter referrer name
ATTR | apps/web/src/modules/crm/leads/components/EditLeadModal.tsx | placeholder | Gate code, parking instructions, etc.
ATTR | apps/web/src/modules/crm/leads/components/EditLeadModal.tsx | placeholder | ST
ATTR | apps/web/src/modules/crm/leads/components/EditLeadModal.tsx | placeholder | Select a customer
ATTR | apps/web/src/modules/crm/leads/components/EditLeadModal.tsx | placeholder | Select frequency
ATTR | apps/web/src/modules/crm/leads/components/EditLeadModal.tsx | placeholder | Select property
ATTR | apps/web/src/modules/crm/leads/components/EditLeadModal.tsx | placeholder | Select source
ATTR | apps/web/src/modules/crm/leads/components/EditLeadModal.tsx | placeholder | Select stage
ATTR | apps/web/src/modules/crm/leads/components/EditLeadModal.tsx | placeholder | Select type
ATTR | apps/web/src/modules/crm/leads/components/EditLeadModal.tsx | placeholder | Start typing...
ATTR | apps/web/src/modules/crm/leads/components/EditLeadModal.tsx | placeholder | customer@email.com
ATTR | apps/web/src/modules/crm/leads/components/EditLeadModal.tsx | placeholder | e.g., 2
ATTR | apps/web/src/modules/crm/leads/components/EditLeadModal.tsx | placeholder | e.g., 2000
ATTR | apps/web/src/modules/crm/leads/components/EditLeadModal.tsx | placeholder | e.g., 3
ATTR | apps/web/src/modules/crm/leads/components/EditLeadModal.tsx | placeholder | e.g., Home
ATTR | apps/web/src/modules/crm/leads/components/LeadDetailsModal.tsx | placeholder | Descreva a interação...
ATTR | apps/web/src/modules/crm/leads/components/LeadDetailsModal.tsx | placeholder | Selecione...
ATTR | apps/web/src/modules/crm/leads/components/LeadPreferencesHistorySections.tsx | placeholder | Describe the interaction...
ATTR | apps/web/src/modules/crm/leads/components/LeadPreferencesHistorySections.tsx | placeholder | Select days
ATTR | apps/web/src/modules/crm/leads/components/LeadPreferencesHistorySections.tsx | placeholder | Select time
ATTR | apps/web/src/modules/crm/leads/components/LeadPreferencesHistorySections.tsx | placeholder | Select type
ATTR | apps/web/src/modules/crm/leads/pages/LeadsPageContent.tsx | aria-label | Lead actions
ATTR | apps/web/src/modules/payroll/components/CalculatePayrollModal.tsx | placeholder | Descrição (opcional)
ATTR | apps/web/src/modules/payroll/components/CalculatePayrollModal.tsx | placeholder | Tipo de bônus
ATTR | apps/web/src/modules/payroll/components/CalculatePayrollModal.tsx | placeholder | Valor
ATTR | apps/web/src/modules/payroll/components/CalculatePayrollModal.tsx | title | Configurar regras
ATTR | apps/web/src/modules/payroll/pages/PayrollPage.tsx | aria-label | Apply payroll filter
ATTR | apps/web/src/modules/payroll/pages/PayrollPage.tsx | aria-label | Clear payroll filter
ATTR | apps/web/src/modules/payroll/pages/PayrollPage.tsx | aria-label | Payroll actions
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | Agendamentos Cancelados
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | Agendamentos Concluídos
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | Agendamentos Criados
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | Cancellations
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | Completion Time (Avg)
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | Conversas Arquivadas
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | Custo vs Receita
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | Fixed Expenses
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | Funcionários Ativos
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | Funcionários Inativos
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | In Progress
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | Jobs Completed
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | Jobs por Funcionário
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | Mensagens Não Lidas
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | Net Profit
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | New Customers
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | On-Time Completion
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | Payroll (Total Pago)
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | Payroll Pendente
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | Payroll por Funcionário
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | Profit Margin
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | Recurring Customers
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | Revenue
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | Revenue per Job
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | Revenue por Funcionário
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | Scheduled Jobs
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | Taxa de Conversão
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | Tips
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | Total Customers
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | Total Expenses
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | Total de Conversas
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | Total de Funcionários
ATTR | apps/web/src/modules/reports/components/AnalyticsTab.tsx | title | Variable Expenses
ATTR | apps/web/src/modules/schedule/calendar/CalendarGrid.tsx | aria-label | Next week
ATTR | apps/web/src/modules/schedule/calendar/CalendarGrid.tsx | aria-label | Previous week
ATTR | apps/web/src/modules/schedule/calendar/CalendarGrid.tsx | title | Edit Job
ATTR | apps/web/src/modules/schedule/components/AppointmentBillingSummary.tsx | aria-label | Billing summary
ATTR | apps/web/src/modules/schedule/components/AppointmentDetailsView.tsx | aria-label | Appointment summary
ATTR | apps/web/src/modules/schedule/components/AppointmentDetailsView.tsx | aria-label | GPS Status Tracking
ATTR | apps/web/src/modules/schedule/components/AppointmentDetailsView.tsx | placeholder | Enter additional note here...
ATTR | apps/web/src/modules/schedule/components/AppointmentDetailsView.tsx | placeholder | Enter customer feedback here...
ATTR | apps/web/src/modules/schedule/components/AppointmentDetailsView.tsx | placeholder | Enter your note here...
ATTR | apps/web/src/modules/schedule/components/AppointmentManualTimeEditor.tsx | aria-label | Job timeline
ATTR | apps/web/src/modules/schedule/components/AppointmentManualTimeEditor.tsx | placeholder | e.g. 7:30 AM
ATTR | apps/web/src/modules/schedule/components/AppointmentModal.tsx | placeholder | e.g., $150
ATTR | apps/web/src/modules/schedule/components/AppointmentModal.tsx | placeholder | e.g., 2h, 3h 30m
ATTR | apps/web/src/modules/schedule/components/AppointmentNotesSections.tsx | aria-label | Additional notes
ATTR | apps/web/src/modules/schedule/components/AppointmentNotesSections.tsx | aria-label | Delete entry
ATTR | apps/web/src/modules/schedule/components/AppointmentNotesSections.tsx | aria-label | Feedback
ATTR | apps/web/src/modules/schedule/components/AppointmentNotesSections.tsx | aria-label | Job notes
ATTR | apps/web/src/modules/schedule/components/AppointmentNotesSections.tsx | title | Additional Notes
ATTR | apps/web/src/modules/schedule/components/AppointmentNotesSections.tsx | title | Feedback
ATTR | apps/web/src/modules/schedule/components/AppointmentNotesSections.tsx | title | Job Notes
ATTR | apps/web/src/modules/schedule/components/InvoiceModal.tsx | aria-label | Download invoice
ATTR | apps/web/src/modules/schedule/components/InvoiceModal.tsx | aria-label | Print invoice
ATTR | apps/web/src/modules/schedule/components/InvoiceModal.tsx | placeholder | Item description
ATTR | apps/web/src/modules/schedule/components/InvoiceModal.tsx | placeholder | Qty
ATTR | apps/web/src/modules/schedule/components/InvoiceModal.tsx | placeholder | Rate
ATTR | apps/web/src/modules/schedule/components/InvoiceModal.tsx | title | Auto-generated invoice number
ATTR | apps/web/src/modules/schedule/components/JobStatusTracker.tsx | alt | GPS trajectory map
ATTR | apps/web/src/modules/schedule/components/ReviewRequestPreviewModal.tsx | placeholder | Enter your review request message...
ATTR | apps/web/src/modules/schedule/pages/SchedulePage.tsx | aria-label | Schedule data tools
ATTR | apps/web/src/modules/settings/components/AutomationsTab.tsx | placeholder | Hi {ClientName}!&#10;&#10;Your message here...&#10;&#10;{CompanyName}
ATTR | apps/web/src/modules/settings/components/AutomationsTab.tsx | placeholder | Select condition
ATTR | apps/web/src/modules/settings/components/AutomationsTab.tsx | placeholder | Select condition (optional)
ATTR | apps/web/src/modules/settings/components/AutomationsTab.tsx | placeholder | Select trigger
ATTR | apps/web/src/modules/settings/components/AutomationsTab.tsx | placeholder | e.g., On Our Way
ATTR | apps/web/src/modules/settings/components/DialpadIntegrationPanel.tsx | aria-label | Copy Dialpad redirect URI
ATTR | apps/web/src/modules/settings/components/IntegrationsTabContent.tsx | placeholder | Selecione um calendário
ATTR | apps/web/src/modules/settings/components/SecuritySettingsSection.tsx | aria-label | Two-factor authentication is managed in Supabase
ATTR | apps/web/src/modules/settings/components/TeamUserModal.tsx | aria-label | Delete team member
ATTR | apps/web/src/modules/settings/components/TeamUserModal.tsx | placeholder | Enter QuickBooks vendor or employee ID
ATTR | apps/web/src/modules/settings/components/TeamUserModal.tsx | placeholder | Enter email address
ATTR | apps/web/src/modules/settings/components/TeamUserModal.tsx | placeholder | Enter email or phone for Zelle
ATTR | apps/web/src/modules/settings/components/TeamUserModal.tsx | placeholder | Enter full name
ATTR | apps/web/src/modules/settings/components/TeamUserModal.tsx | placeholder | Select payment method
ATTR | apps/web/src/modules/settings/components/TeamUserModal.tsx | placeholder | Select role
ATTR | apps/web/src/modules/settings/components/TeamUserModal.tsx | placeholder | Select team
ATTR | apps/web/src/modules/settings/pages/SettingsPage.tsx | placeholder | @username
ATTR | apps/web/src/modules/settings/pages/SettingsPage.tsx | placeholder | email@example.com or phone
ATTR | apps/web/src/modules/settings/pages/SyncLogsPage.tsx | placeholder | Search logs...
ATTR | apps/web/src/modules/settings/pages/SyncLogsPage.tsx | placeholder | Status
ATTR | apps/web/src/modules/settings/pages/SyncLogsPage.tsx | placeholder | Type
ATTR | apps/web/src/modules/transactions/components/TransactionModal.tsx | placeholder | Digite o nome do serviço
ATTR | apps/web/src/modules/transactions/components/TransactionModal.tsx | placeholder | Nome da transação
ATTR | apps/web/src/modules/transactions/components/TransactionModal.tsx | placeholder | Selecione o status
ATTR | apps/web/src/modules/transactions/components/TransactionModal.tsx | placeholder | Selecione o tipo
ATTR | apps/web/src/modules/transactions/components/TransactionModal.tsx | placeholder | Selecione o tipo de serviço
ATTR | apps/web/src/modules/transactions/pages/RulesPage.tsx | placeholder | Buscar regras...
ATTR | apps/web/src/modules/transactions/pages/RulesPage.tsx | placeholder | Ex: Combustível
ATTR | apps/web/src/modules/transactions/pages/RulesPage.tsx | placeholder | Ex: Descrição contém
ATTR | apps/web/src/modules/transactions/pages/RulesPage.tsx | placeholder | Ex: Transporte
ATTR | apps/web/src/modules/transactions/pages/RulesPage.tsx | placeholder | Selecione o tipo
ATTR | apps/web/src/modules/transactions/pages/RulesPage.tsx | title | Regras Ativas
ATTR | apps/web/src/modules/transactions/pages/RulesPage.tsx | title | Regras Inativas
ATTR | apps/web/src/modules/transactions/pages/RulesPage.tsx | title | Regras de Categorização
ATTR | apps/web/src/modules/transactions/pages/RulesPage.tsx | title | Total de Regras
ATTR | apps/web/src/modules/transactions/pages/TransactionsPage.tsx | placeholder | Buscar transações...
ATTR | apps/web/src/shared/components/ActionDropdown.tsx | aria-label | Actions
ATTR | apps/web/src/shared/components/PageHeader.tsx | aria-label | Go back
ATTR | apps/web/src/shared/components/SearchInput.tsx | placeholder | Buscar...
ATTR | apps/web/src/shared/components/ui/date-picker.tsx | placeholder | Pick a date
TOAST | apps/web/src/modules/admin/pages/AdminAuth.tsx | Access Denied
TOAST | apps/web/src/modules/admin/pages/AdminAuth.tsx | Welcome, Admin!
TOAST | apps/web/src/modules/admin/pages/AdminAuth.tsx | You have successfully logged in to the admin panel.
TOAST | apps/web/src/modules/auth/pages/AuthPage.tsx | Check your email
TOAST | apps/web/src/modules/auth/pages/AuthPage.tsx | Email required
TOAST | apps/web/src/modules/auth/pages/AuthPage.tsx | Enter your login email first.
TOAST | apps/web/src/modules/auth/pages/AuthPage.tsx | Error
TOAST | apps/web/src/modules/auth/pages/AuthPage.tsx | If the account exists, a recovery link was sent.
TOAST | apps/web/src/modules/auth/pages/AuthPage.tsx | Unable to request reset
TOAST | apps/web/src/modules/auth/pages/AuthPage.tsx | Welcome back!
TOAST | apps/web/src/modules/auth/pages/AuthPage.tsx | You have successfully logged in.
TOAST | apps/web/src/modules/auth/pages/SetPasswordPage.tsx | Password configured successfully.
TOAST | apps/web/src/modules/auth/pages/SetPasswordPage.tsx | Passwords do not match.
TOAST | apps/web/src/modules/auth/pages/SetPasswordPage.tsx | Use at least 12 characters.
TOAST | apps/web/src/modules/auth/pages/SetupPage.tsx | Administrador inicial configurado.
TOAST | apps/web/src/modules/auth/pages/SetupPage.tsx | Informe o nome da empresa.
TOAST | apps/web/src/modules/billing/components/EditInvoiceModal.tsx | Erro ao salvar invoice
TOAST | apps/web/src/modules/billing/components/EditInvoiceModal.tsx | Falha ao sincronizar com QuickBooks
TOAST | apps/web/src/modules/billing/components/EditInvoiceModal.tsx | QuickBooks não conectado
TOAST | apps/web/src/modules/billing/components/EditInvoiceModal.tsx | QuickBooks não conectado. Invoice salvo apenas localmente.
TOAST | apps/web/src/modules/billing/pages/BillingPage.tsx | Conecte ao QuickBooks primeiro
TOAST | apps/web/src/modules/billing/pages/BillingPage.tsx | Customer not found. Please try again.
TOAST | apps/web/src/modules/billing/pages/BillingPage.tsx | Depósito confirmado! Crie o job agora.
TOAST | apps/web/src/modules/billing/pages/BillingPage.tsx | Este lead já possui um job criado.
TOAST | apps/web/src/modules/billing/pages/BillingPage.tsx | Invoice sincronizado com sucesso!
TOAST | apps/web/src/modules/billing/pages/BillingPage.tsx | QuickBooks não conectado
TOAST | apps/web/src/modules/communications/components/BroadcastModal.tsx | Company context is unavailable
TOAST | apps/web/src/modules/communications/components/BroadcastModal.tsx | Enter a message or attach a file
TOAST | apps/web/src/modules/communications/components/BroadcastModal.tsx | Failed to remove attachment
TOAST | apps/web/src/modules/communications/components/BroadcastModal.tsx | Failed to send broadcast
TOAST | apps/web/src/modules/communications/components/BroadcastModal.tsx | Failed to upload attachment
TOAST | apps/web/src/modules/communications/components/BroadcastModal.tsx | Select at least one recipient
TOAST | apps/web/src/modules/communications/components/NewMessageModal.tsx | Failed to send message
TOAST | apps/web/src/modules/communications/components/NewMessageModal.tsx | Message sent successfully
TOAST | apps/web/src/modules/communications/components/NewMessageModal.tsx | Please enter a message
TOAST | apps/web/src/modules/communications/components/NewMessageModal.tsx | Please select a recipient
TOAST | apps/web/src/modules/communications/pages/CommunicationsPage.tsx | Conversation archived
TOAST | apps/web/src/modules/communications/pages/CommunicationsPage.tsx | Unable to archive conversation
TOAST | apps/web/src/modules/crm/contacts/components/ContactFormDialog.tsx | Enter a valid email address
TOAST | apps/web/src/modules/crm/contacts/components/ContactFormDialog.tsx | Name is required
TOAST | apps/web/src/modules/crm/customers/pages/CustomersPageContent.tsx | Customer list exported successfully!
TOAST | apps/web/src/modules/crm/customers/pages/CustomersPageContent.tsx | Invalid file format.
TOAST | apps/web/src/modules/crm/customers/pages/CustomersPageContent.tsx | No data found in the file.
TOAST | apps/web/src/modules/crm/leads/components/CreateLeadModal.tsx | Error saving lead
TOAST | apps/web/src/modules/crm/leads/components/CreateLeadModal.tsx | Lead created successfully!
TOAST | apps/web/src/modules/crm/leads/components/EditLeadModal.tsx | Error saving lead
TOAST | apps/web/src/modules/crm/leads/components/EditLeadModal.tsx | Lead updated successfully!
TOAST | apps/web/src/modules/crm/leads/components/LeadDetailsModal.tsx | Erro ao adicionar interação
TOAST | apps/web/src/modules/crm/leads/components/LeadDetailsModal.tsx | Erro ao aprovar estimate. Tente novamente.
TOAST | apps/web/src/modules/crm/leads/components/LeadDetailsModal.tsx | Erro: Lead não possui ID válido
TOAST | apps/web/src/modules/crm/leads/components/LeadDetailsModal.tsx | Interação adicionada com sucesso!
TOAST | apps/web/src/modules/crm/leads/components/LeadDetailsModal.tsx | Selecione o tipo de interação
TOAST | apps/web/src/modules/crm/leads/pages/LeadsPageContent.tsx | Cliente não encontrado. Selecione um cliente existente.
TOAST | apps/web/src/modules/crm/leads/pages/LeadsPageContent.tsx | Depósito confirmado! Crie o job agora.
TOAST | apps/web/src/modules/crm/leads/pages/LeadsPageContent.tsx | Este lead precisa ser aprovado antes de criar um job.
TOAST | apps/web/src/modules/crm/leads/pages/LeadsPageContent.tsx | Lead aprovado!
TOAST | apps/web/src/modules/crm/leads/pages/LeadsPageContent.tsx | Lead marcado como perdido
TOAST | apps/web/src/modules/crm/leads/pages/LeadsPageContent.tsx | O invoice de depósito (50%) precisa ser pago antes de criar um job para Deep Cleaning.
TOAST | apps/web/src/modules/payroll/components/CalculatePayrollModal.tsx | Arquivo Excel gerado com sucesso.
TOAST | apps/web/src/modules/payroll/components/CalculatePayrollModal.tsx | Download iniciado
TOAST | apps/web/src/modules/payroll/components/CalculatePayrollModal.tsx | Erro
TOAST | apps/web/src/modules/payroll/components/CalculatePayrollModal.tsx | Payroll calculado
TOAST | apps/web/src/modules/payroll/components/CalculatePayrollModal.tsx | Preencha tipo e valor do bônus.
TOAST | apps/web/src/modules/payroll/components/CalculatePayrollModal.tsx | Valor inválido.
TOAST | apps/web/src/modules/payroll/components/PayrollRulesModal.tsx | Nenhuma alteração
TOAST | apps/web/src/modules/payroll/components/PayrollRulesModal.tsx | Não há regras modificadas para salvar.
TOAST | apps/web/src/modules/payroll/components/PayrollRulesModal.tsx | Regras salvas
TOAST | apps/web/src/modules/payroll/pages/PayrollPage.tsx | Bulk SMS Failed
TOAST | apps/web/src/modules/payroll/pages/PayrollPage.tsx | Bulk SMS Sent
TOAST | apps/web/src/modules/payroll/pages/PayrollPage.tsx | Download started
TOAST | apps/web/src/modules/payroll/pages/PayrollPage.tsx | Erro ao confirmar payroll
TOAST | apps/web/src/modules/payroll/pages/PayrollPage.tsx | Erro ao gerar payroll
TOAST | apps/web/src/modules/payroll/pages/PayrollPage.tsx | Error
TOAST | apps/web/src/modules/payroll/pages/PayrollPage.tsx | Excel file generated successfully.
TOAST | apps/web/src/modules/payroll/pages/PayrollPage.tsx | Failed to generate PDF preview.
TOAST | apps/web/src/modules/payroll/pages/PayrollPage.tsx | Failed to generate PDF.
TOAST | apps/web/src/modules/payroll/pages/PayrollPage.tsx | Missing phone numbers
TOAST | apps/web/src/modules/payroll/pages/PayrollPage.tsx | Nenhum funcionário encontrado
TOAST | apps/web/src/modules/payroll/pages/PayrollPage.tsx | Nenhum registro encontrado
TOAST | apps/web/src/modules/payroll/pages/PayrollPage.tsx | No records selected
TOAST | apps/web/src/modules/payroll/pages/PayrollPage.tsx | Não há jobs finalizados (ou não há staff atribuído) neste período.
TOAST | apps/web/src/modules/payroll/pages/PayrollPage.tsx | PDF Downloaded
TOAST | apps/web/src/modules/payroll/pages/PayrollPage.tsx | PDF Generated
TOAST | apps/web/src/modules/payroll/pages/PayrollPage.tsx | Payroll confirmado
TOAST | apps/web/src/modules/payroll/pages/PayrollPage.tsx | Payroll gerado automaticamente
TOAST | apps/web/src/modules/payroll/pages/PayrollPage.tsx | Phone not found
TOAST | apps/web/src/modules/payroll/pages/PayrollPage.tsx | Please select at least one record to send.
TOAST | apps/web/src/modules/payroll/pages/PayrollPage.tsx | Registros excluídos
TOAST | apps/web/src/modules/payroll/pages/PayrollPage.tsx | SMS Sent
TOAST | apps/web/src/modules/payroll/pages/PayrollPage.tsx | Selecione a data inicial e final para gerar o payroll.
TOAST | apps/web/src/modules/payroll/pages/PayrollPage.tsx | Selecione o período
TOAST | apps/web/src/modules/payroll/pages/PayrollPage.tsx | Tente novamente.
TOAST | apps/web/src/modules/reports/components/AIConsultantCard.tsx | Análise concluída!
TOAST | apps/web/src/modules/reports/components/AIConsultantCard.tsx | Créditos insuficientes. Adicione créditos ao seu workspace.
TOAST | apps/web/src/modules/reports/components/AIConsultantCard.tsx | Erro ao realizar análise. Tente novamente.
TOAST | apps/web/src/modules/reports/components/AIConsultantCard.tsx | Limite de requisições excedido. Tente novamente mais tarde.
TOAST | apps/web/src/modules/schedule/components/AppointmentDetailsView.tsx | Additional note added
TOAST | apps/web/src/modules/schedule/components/AppointmentDetailsView.tsx | Additional note deleted
